QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
4;1;2;80 a 110m2;Paralela;300K a 450K
1;1;2;60 a 80m2;Armação;300K a 450K
5ou+;4;4;163 a 4126m2;Horto Florestal;1M a 88M
2;2;3;60 a 80m2;Jardim Apipema;450K a 650K
4;3;3;163 a 4126m2;Piatã;650K a 1M
3;1;3;80 a 110m2;Pituba;450K a 650K
3;1;3;163 a 4126m2;Pituba;0 a 300K
1;2;1;13 a 60m2;Ondina;300K a 450K
2;2;2;60 a 80m2;Piatã;650K a 1M
3;nan;2;60 a 80m2;Tororó;0 a 300K
3;2;2;163 a 4126m2;Pituba;450K a 650K
2;1;2;60 a 80m2;Imbuí;300K a 450K
3;nan;2;110 a 163m2;Matatu;0 a 300K
4;3;1;163 a 4126m2;Caminho das Árvores;650K a 1M
3;2;5ou+;110 a 163m2;Pituba;650K a 1M
3;2;2;80 a 110m2;Armação;450K a 650K
2;2;3;80 a 110m2;Pituba;0 a 300K
2;2;3;80 a 110m2;Itaigara;650K a 1M
3;1;3;80 a 110m2;Caminho das Árvores;300K a 450K
3;2;3;80 a 110m2;Caminho das Árvores;650K a 1M
4;2;4;163 a 4126m2;Barra;650K a 1M
3;4;4;110 a 163m2;Barra;1M a 88M
3;2;3;80 a 110m2;Costa Azul;450K a 650K
3;3;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
1;1;1;13 a 60m2;Armação;300K a 450K
2;1;2;13 a 60m2;Piatã;0 a 300K
3;3;2;163 a 4126m2;Itaigara;1M a 88M
2;1;2;13 a 60m2;Imbuí;0 a 300K
2;1;1;13 a 60m2;Matatu;300K a 450K
2;2;3;80 a 110m2;Ondina;650K a 1M
4;1;5ou+;110 a 163m2;Pituba;450K a 650K
3;nan;3;163 a 4126m2;Graça;650K a 1M
2;1;2;80 a 110m2;Pituba;300K a 450K
2;1;3;60 a 80m2;Pituba;450K a 650K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;1;3;80 a 110m2;Vitória;650K a 1M
2;2;3;80 a 110m2;Stella Maris;650K a 1M
3;nan;2;60 a 80m2;Cabula;0 a 300K
1;nan;1;13 a 60m2;Dois de Julho;0 a 300K
3;3;4;110 a 163m2;Horto Bela Vista;1M a 88M
2;1;1;13 a 60m2;São Cristóvão;0 a 300K
3;1;3;60 a 80m2;Costa Azul;300K a 450K
3;1;1;80 a 110m2;Patamares;650K a 1M
